pipeline_depth,parallel_units,intermediate_buffer_kb,tile_npw,tile_nkb,tile_m,dma_channels,pcie_gen,offload_strategy,dataflow_pattern,psi_strategy,beta_strategy,h_psi_impl,gemm_impl,overlap_policy,trial_index,avg_time_s,avg_energy_j,max_time_s,max_energy_j,std_time_s,std_energy_j,avg_dsp_utilization,avg_bram_utilization
3,2,128,256,16,32,2,3,h_psi_only,hybrid,tile,resident,mixed,winograd,full_pipeline,19,0.00015401547794117646,0.006314634595588235,0.0004271164772727273,0.01751177556818182,0.0001408643160061867,0.005775436956253655,0.021158854166666668,0.007529411764705883
3,2,512,2048,16,32,2,3,h_s_psi_fused,streaming,stream,resident,fft_bram,winograd,none,20,7.822581765660809e-05,0.003207258523920931,0.0001803926542207792,0.007396098823051947,5.52167281544819e-05,0.002263885854333758,0.021158854166666668,0.0451764705882353
3,4,1024,1024,16,4,1,3,include_diag,streaming,resident,stream,fft_bram,winograd,compute_dma,21,4.400259382161955e-05,0.0022441322849025974,0.00010636668019480519,0.005424700689935065,3.3174951943335856e-05,0.001691922549110129,0.037434895833333336,0.032
4,4,512,256,16,8,2,3,include_diag,buffered,stream,resident,systolic,systolic,none,22,7.619284226190478e-05,0.004038220639880953,0.00021129836309523813,0.01119881324404762,6.968684416179076e-05,0.0036934027405749106,0.0390625,0.016
3,4,512,2048,144,32,2,5,include_diag,buffered,tile,cache,fft_dsp,winograd,none,23,4.302419971113445e-05,0.0021942341852678572,9.921595982142857e-05,0.005060013950892857,3.036920048496505e-05,0.0015488292247332173,0.037434895833333336,0.0451764705882353
2,2,512,256,16,8,1,3,h_psi_only,hybrid,stream,resident,fft_dsp,systolic,compute_dma,24,0.0001636414453125,0.0063820163671875,0.0004538112571022727,0.017698639026988636,0.00014966833575657333,0.00583706509450636,0.01953125,0.016
2,1,256,1024,16,16,1,3,include_diag,hybrid,tile,cache,fft_bram,dsp_array,none,25,0.00019636157492897727,0.006676293547585227,0.00047466131036931816,0.016138484552556818,0.00014804322304713625,0.005033469583602633,0.011393229166666666,0.015058823529411767
2,1,256,2048,144,8,4,3,h_s_psi_fused,buffered,tile,resident,systolic,winograd,none,26,0.00018285284877232142,0.006216996858258929,0.0004216678292410714,0.014336706194196427,0.00012906910206110145,0.00438834947007745,0.011393229166666666,0.015058823529411767
5,2,512,1024,32,4,1,4,h_psi_only,buffered,stream,stream,fft_bram,winograd,compute_dma,27,8.66156320488722e-05,0.0038977034421992483,0.00020937441259398498,0.009421848566729325,6.530227382530323e-05,0.0029386023221386454,0.0244140625,0.016941176470588234
4,1,512,512,144,32,1,3,include_diag,buffered,stream,stream,systolic,systolic,none,28,0.00022349393849206353,0.008492769662698414,0.0005764062500000001,0.021903437500000005,0.0001845753851443361,0.0070138646354847714,0.0146484375,0.02258823529411765
