parameters,result
"{'pipeline_depth': 4, 'parallel_units': 1, 'intermediate_buffer_kb': 1024, 'tile_npw': 1024, 'tile_nkb': 64, 'tile_m': 4, 'dma_channels': 1, 'pcie_gen': 4, 'offload_strategy': 'include_diag', 'dataflow_pattern': 'streaming', 'psi_strategy': 'tile', 'beta_strategy': 'stream', 'h_psi_impl': 'systolic', 'gemm_impl': 'dsp_array', 'overlap_policy': 'full_pipeline'}","{'time_s': 0.0001487440137987013, 'energy_j': 0.0056522725243506496, 'area': {'dsp_count': 180, 'dsp_utilization': 0.0146484375, 'bram_kb': 1088.0, 'bram_utilization': 0.032, 'lut_count': 19880.0}, 'feasible': True}"
"{'pipeline_depth': 5, 'parallel_units': 2, 'intermediate_buffer_kb': 64, 'tile_npw': 2048, 'tile_nkb': 144, 'tile_m': 8, 'dma_channels': 1, 'pcie_gen': 4, 'offload_strategy': 'h_s_psi_fused', 'dataflow_pattern': 'hybrid', 'psi_strategy': 'tile', 'beta_strategy': 'stream', 'h_psi_impl': 'fft_dsp', 'gemm_impl': 'systolic', 'overlap_policy': 'full_pipeline'}","{'time_s': 6.911756036931819e-05, 'energy_j': 0.0031102902166193188, 'area': {'dsp_count': 300, 'dsp_utilization': 0.0244140625, 'bram_kb': 320.0, 'bram_utilization': 0.009411764705882352, 'lut_count': 18200.0}, 'feasible': True}"
"{'pipeline_depth': 3, 'parallel_units': 1, 'intermediate_buffer_kb': 512, 'tile_npw': 512, 'tile_nkb': 16, 'tile_m': 8, 'dma_channels': 1, 'pcie_gen': 3, 'offload_strategy': 'h_s_psi_fused', 'dataflow_pattern': 'streaming', 'psi_strategy': 'tile', 'beta_strategy': 'resident', 'h_psi_impl': 'mixed', 'gemm_impl': 'systolic', 'overlap_policy': 'compute_dma'}","{'time_s': 0.00017819893525592055, 'energy_j': 0.00641516166921314, 'area': {'dsp_count': 160, 'dsp_utilization': 0.013020833333333334, 'bram_kb': 576.0, 'bram_utilization': 0.016941176470588234, 'lut_count': 13760.0}, 'feasible': True}"
"{'pipeline_depth': 2, 'parallel_units': 2, 'intermediate_buffer_kb': 512, 'tile_npw': 1024, 'tile_nkb': 16, 'tile_m': 32, 'dma_channels': 4, 'pcie_gen': 4, 'offload_strategy': 'h_s_psi_fused', 'dataflow_pattern': 'buffered', 'psi_strategy': 'tile', 'beta_strategy': 'resident', 'h_psi_impl': 'mixed', 'gemm_impl': 'winograd', 'overlap_policy': 'full_pipeline'}","{'time_s': 9.203535853794643e-05, 'energy_j': 0.0035893789829799104, 'area': {'dsp_count': 240, 'dsp_utilization': 0.01953125, 'bram_kb': 1024.0, 'bram_utilization': 0.03011764705882353, 'lut_count': 22240.0}, 'feasible': True}"
"{'pipeline_depth': 2, 'parallel_units': 1, 'intermediate_buffer_kb': 128, 'tile_npw': 1024, 'tile_nkb': 32, 'tile_m': 16, 'dma_channels': 4, 'pcie_gen': 5, 'offload_strategy': 'full_operator_sweep', 'dataflow_pattern': 'hybrid', 'psi_strategy': 'resident', 'beta_strategy': 'stream', 'h_psi_impl': 'fft_bram', 'gemm_impl': 'systolic', 'overlap_policy': 'none'}","{'time_s': 0.00017570386629971592, 'energy_j': 0.005973931454190342, 'area': {'dsp_count': 140, 'dsp_utilization': 0.011393229166666666, 'bram_kb': 384.0, 'bram_utilization': 0.011294117647058824, 'lut_count': 10840.0}, 'feasible': True}"
"{'pipeline_depth': 5, 'parallel_units': 1, 'intermediate_buffer_kb': 128, 'tile_npw': 1024, 'tile_nkb': 64, 'tile_m': 4, 'dma_channels': 1, 'pcie_gen': 4, 'offload_strategy': 'h_s_psi_fused', 'dataflow_pattern': 'streaming', 'psi_strategy': 'stream', 'beta_strategy': 'cache', 'h_psi_impl': 'mixed', 'gemm_impl': 'dsp_array', 'overlap_policy': 'full_pipeline'}","{'time_s': 0.0001409153814935065, 'energy_j': 0.00563661525974026, 'area': {'dsp_count': 200, 'dsp_utilization': 0.016276041666666668, 'bram_kb': 192.0, 'bram_utilization': 0.005647058823529412, 'lut_count': 11920.0}, 'feasible': True}"
"{'pipeline_depth': 3, 'parallel_units': 2, 'intermediate_buffer_kb': 256, 'tile_npw': 2048, 'tile_nkb': 144, 'tile_m': 16, 'dma_channels': 2, 'pcie_gen': 3, 'offload_strategy': 'h_s_psi_fused', 'dataflow_pattern': 'buffered', 'psi_strategy': 'resident', 'beta_strategy': 'stream', 'h_psi_impl': 'systolic', 'gemm_impl': 'systolic', 'overlap_policy': 'compute_dma'}","{'time_s': 8.092756368172268e-05, 'energy_j': 0.0033180301109506302, 'area': {'dsp_count': 260, 'dsp_utilization': 0.021158854166666668, 'bram_kb': 768.0, 'bram_utilization': 0.02258823529411765, 'lut_count': 20680.0}, 'feasible': True}"
"{'pipeline_depth': 5, 'parallel_units': 8, 'intermediate_buffer_kb': 128, 'tile_npw': 2048, 'tile_nkb': 32, 'tile_m': 8, 'dma_channels': 2, 'pcie_gen': 4, 'offload_strategy': 'h_s_psi_fused', 'dataflow_pattern': 'hybrid', 'psi_strategy': 'resident', 'beta_strategy': 'cache', 'h_psi_impl': 'mixed', 'gemm_impl': 'dsp_array', 'overlap_policy': 'compute_dma'}","{'time_s': 1.7279390092329548e-05, 'energy_j': 0.001295954256924716, 'area': {'dsp_count': 900, 'dsp_utilization': 0.0732421875, 'bram_kb': 384.0, 'bram_utilization': 0.011294117647058824, 'lut_count': 48840.0}, 'feasible': True}"
"{'pipeline_depth': 3, 'parallel_units': 8, 'intermediate_buffer_kb': 512, 'tile_npw': 256, 'tile_nkb': 64, 'tile_m': 32, 'dma_channels': 4, 'pcie_gen': 5, 'offload_strategy': 'include_diag', 'dataflow_pattern': 'hybrid', 'psi_strategy': 'tile', 'beta_strategy': 'cache', 'h_psi_impl': 'fft_dsp', 'gemm_impl': 'dsp_array', 'overlap_policy': 'compute_dma'}","{'time_s': 2.8823744568850275e-05, 'energy_j': 0.0020464858643883697, 'area': {'dsp_count': 860, 'dsp_utilization': 0.06998697916666667, 'bram_kb': 640.0, 'bram_utilization': 0.018823529411764704, 'lut_count': 49400.0}, 'feasible': True}"
"{'pipeline_depth': 3, 'parallel_units': 2, 'intermediate_buffer_kb': 256, 'tile_npw': 512, 'tile_nkb': 144, 'tile_m': 8, 'dma_channels': 4, 'pcie_gen': 4, 'offload_strategy': 'full_operator_sweep', 'dataflow_pattern': 'hybrid', 'psi_strategy': 'resident', 'beta_strategy': 'resident', 'h_psi_impl': 'fft_bram', 'gemm_impl': 'dsp_array', 'overlap_policy': 'none'}","{'time_s': 9.35544410093583e-05, 'energy_j': 0.0038357320813836903, 'area': {'dsp_count': 260, 'dsp_utilization': 0.021158854166666668, 'bram_kb': 320.0, 'bram_utilization': 0.009411764705882352, 'lut_count': 16200.0}, 'feasible': True}"
